matrix,opt_level,threads,schedule,chunksize,L1_miss_percent_mean,L1_miss_percent_p90,LLC_miss_percent_mean,LLC_miss_percent_p90
ex40,O3,2,dynamic,1000.0,6.465000000000001,6.47,25.812,28.341
ex40,O3,2,guided,10.0,6.453,6.46,24.205000000000002,29.436
ex40,O3,2,guided,100.0,6.45,6.4510000000000005,28.130000000000003,31.371
ex40,O3,2,guided,1000.0,6.442,6.45,28.528000000000002,30.954
ex40,O3,2,static,10.0,6.954000000000001,6.96,6.009,7.587999999999999
ex40,O3,2,static,100.0,6.661,6.6610000000000005,16.744,21.135
ex40,O3,2,static,1000.0,6.462999999999999,6.47,24.469,27.766000000000002
ex40,O3,4,dynamic,10.0,7.339,7.35,5.523000000000001,7.099
ex40,O3,4,dynamic,100.0,6.654000000000001,6.6610000000000005,12.440000000000001,16.023
ex40,O3,4,dynamic,1000.0,6.45,6.46,23.078,26.017
ex40,O3,4,guided,10.0,6.489,6.4910000000000005,19.762,21.241
ex40,O3,4,guided,100.0,6.475,6.48,21.279,24.176
ex40,O3,4,guided,1000.0,6.436,6.44,24.262999999999998,25.615
ex40,O3,4,static,10.0,7.195,7.21,5.586,6.489
ex40,O3,4,static,100.0,6.6739999999999995,6.68,12.618,14.474
ex40,O3,4,static,1000.0,6.438,6.44,25.425,27.504
ex40,O3,8,dynamic,10.0,7.529999999999999,7.54,6.267,7.299
ex40,O3,8,dynamic,100.0,6.662999999999999,6.68,10.918000000000001,12.046999999999999
ex40,O3,8,dynamic,1000.0,6.398000000000001,6.4110000000000005,18.182,22.873
ex40,O3,8,guided,10.0,6.534999999999999,6.55,11.675999999999998,14.334
ex40,O3,8,guided,100.0,6.492,6.51,13.767,16.649
ex40,O3,8,guided,1000.0,6.398000000000001,6.421,19.919,23.106
ex40,O3,8,static,10.0,7.354000000000001,7.373,9.093,13.546
ex40,O3,8,static,100.0,6.667,6.681,17.237000000000002,20.391000000000002
ex40,O3,8,static,1000.0,6.398000000000001,6.4110000000000005,29.57,32.129000000000005
ex40,O3,16,dynamic,10.0,7.787999999999999,7.81,4.522,5.648
ex40,O3,16,dynamic,100.0,6.534000000000001,6.57,9.341,10.155
ex40,O3,16,dynamic,1000.0,6.129,6.15,14.975,16.572
ex40,O3,16,guided,10.0,6.586,6.601,7.747,9.033999999999999
ex40,O3,16,guided,100.0,6.434,6.47,10.162,10.987
ex40,O3,16,guided,1000.0,6.0120000000000005,6.16,14.056999999999999,17.024
ex40,O3,16,static,10.0,7.726999999999999,7.811999999999999,8.695,11.527999999999999
ex40,O3,16,static,100.0,6.513,6.57,14.919,17.199
ex40,O3,16,static,1000.0,6.101999999999999,6.141,20.875999999999998,22.803
ex40,O3,32,dynamic,10.0,4.014,5.299,13.540000000000001,14.533
ex40,O3,32,dynamic,100.0,3.4699999999999998,4.332,16.107999999999997,17.721999999999998
ex40,O3,32,dynamic,1000.0,3.2729999999999997,3.8209999999999997,19.503999999999998,20.369999999999997
ex40,O3,32,guided,10.0,3.285,4.49,13.875,14.489
ex40,O3,32,guided,100.0,3.353,4.337,14.669,15.604000000000001
ex40,O3,32,guided,1000.0,3.442,3.8609999999999998,19.219,19.776
ex40,O3,32,static,10.0,4.936,5.5569999999999995,13.818000000000001,14.799999999999999
ex40,O3,32,static,100.0,3.864,4.204,15.746,17.993
ex40,O3,32,static,1000.0,3.2950000000000004,3.874,16.814,17.683
ex40,O3,64,dynamic,10.0,1.799,2.147,18.244999999999997,20.080000000000002
ex40,O3,64,dynamic,100.0,1.526,1.672,22.184,23.903
ex40,O3,64,dynamic,1000.0,1.3960000000000001,1.51,24.102,25.663
ex40,O3,64,guided,10.0,1.441,1.6909999999999998,17.149,17.950000000000003
ex40,O3,64,guided,100.0,1.5230000000000001,1.69,19.549,20.742
ex40,O3,64,guided,1000.0,1.568,1.7,21.81,23.016
ex40,O3,64,static,10.0,2.087,2.231,14.241,15.985000000000001
ex40,O3,64,static,100.0,1.6329999999999998,1.6809999999999998,21.38,23.34
ex40,O3,64,static,1000.0,1.6629999999999998,1.9019999999999997,20.896,22.918
ex40,O3,128,dynamic,10.0,8.855,8.912,21.96,23.717000000000002
ex40,O3,128,dynamic,100.0,7.2620000000000005,7.29,25.775,27.42
ex40,O3,128,dynamic,1000.0,6.915000000000001,6.955,28.139,29.22
ex40,O3,128,guided,10.0,8.433,8.491,21.254,22.148
ex40,O3,128,guided,100.0,7.294,7.34,27.28,29.948
ex40,O3,128,guided,1000.0,6.9079999999999995,6.9639999999999995,29.814999999999998,32.051
ex40,O3,128,static,10.0,9.36,9.401,16.478,20.334
ex40,O3,128,static,100.0,7.2010000000000005,7.228,27.860000000000003,31.541999999999998
ex40,O3,128,static,1000.0,6.9159999999999995,6.9430000000000005,23.868000000000002,26.159
ex40,Ofast,1,sequential,,6.428,6.43,14.309000000000001,17.869
memchip,O0,1,sequential,,1.844,1.85,39.568,40.192
memchip,O1,1,sequential,,7.920999999999999,7.93,29.428000000000004,31.248
memchip,O2,1,sequential,,7.923,7.93,29.144,31.491999999999997
memchip,O3,1,sequential,,7.919,7.921,29.895999999999997,31.444
memchip,O3,2,dynamic,10.0,11.97,12.15,75.65,76.898
memchip,O3,2,dynamic,100.0,8.67,8.69,59.452,60.858999999999995
memchip,O3,2,dynamic,1000.0,8.058000000000002,8.06,37.808,38.426
memchip,O3,2,guided,10.0,7.885,7.89,28.285000000000004,29.206
memchip,O3,2,guided,100.0,7.889,7.89,28.529000000000003,29.913
memchip,O3,2,guided,1000.0,7.884,7.89,28.749000000000002,30.233999999999998
memchip,O3,2,static,10.0,11.563,11.57,70.458,71.012
memchip,O3,2,static,100.0,8.699,8.71,58.44500000000001,59.842999999999996
memchip,O3,2,static,1000.0,8.03,8.03,38.405,39.842
memchip,O3,4,dynamic,10.0,14.355,14.39,86.954,87.014
memchip,O3,4,dynamic,100.0,8.952,8.96,67.176,67.878
memchip,O3,4,dynamic,1000.0,8.06,8.06,42.779,43.777
memchip,O3,4,guided,10.0,7.861,7.89,27.844,28.86
memchip,O3,4,guided,100.0,7.862,7.881,28.168,30.154
memchip,O3,4,guided,1000.0,7.859,7.872,28.854000000000003,30.139999999999997
memchip,O3,4,static,10.0,12.709,12.723,83.866,84.271
memchip,O3,4,static,100.0,8.729000000000001,8.731,62.545,63.022999999999996
memchip,O3,4,static,1000.0,8.02,8.02,39.699,40.588
memchip,O3,8,dynamic,10.0,15.465,15.481,58.85699999999999,59.032000000000004
memchip,O3,8,dynamic,100.0,9.009,9.01,52.937,53.992999999999995
memchip,O3,8,dynamic,1000.0,8.041999999999998,8.05,33.949,34.830999999999996
memchip,O3,8,guided,10.0,7.851000000000001,7.86,25.27,26.225
memchip,O3,8,guided,100.0,7.85,7.861000000000001,25.11,25.783
memchip,O3,8,guided,1000.0,7.843999999999999,7.86,25.345,26.229
memchip,O3,8,static,10.0,13.549000000000001,13.561,66.60799999999999,66.834
memchip,O3,8,static,100.0,8.731,8.731,49.239,49.855000000000004
memchip,O3,8,static,1000.0,8.001000000000001,8.001,31.725,32.349
memchip,O3,16,dynamic,10.0,15.798000000000002,15.811,57.511,57.681
memchip,O3,16,dynamic,100.0,9.014999999999999,9.02,44.577,45.564
memchip,O3,16,dynamic,1000.0,8.01,8.01,29.52,29.894000000000002
memchip,O3,16,guided,10.0,7.812,7.83,24.91,26.134
memchip,O3,16,guided,100.0,7.81,7.831,25.139,25.947
memchip,O3,16,guided,1000.0,7.81,7.824,25.127000000000002,25.991
memchip,O3,16,static,10.0,13.443999999999999,13.45,64.49300000000001,65.113
memchip,O3,16,static,100.0,8.72,8.72,42.717,43.662
memchip,O3,16,static,1000.0,7.939,7.941000000000001,28.416000000000004,29.031
memchip,O3,32,dynamic,10.0,15.7,15.741,55.217000000000006,55.402
memchip,O3,32,dynamic,100.0,8.976,8.98,40.953,41.322
memchip,O3,32,dynamic,1000.0,7.94,7.94,27.773000000000003,27.881
memchip,O3,32,guided,10.0,7.7010000000000005,7.74,25.816000000000003,26.536
memchip,O3,32,guided,100.0,7.675,7.7010000000000005,26.028,27.186
memchip,O3,32,guided,1000.0,7.687,7.711,25.986,27.287000000000003
memchip,O3,32,static,10.0,13.501,13.52,57.788,58.03
memchip,O3,32,static,100.0,8.553,8.56,39.516,39.885
memchip,O3,32,static,1000.0,7.795,7.81,28.593,29.093
memchip,O3,64,dynamic,10.0,15.597,15.610999999999999,52.909000000000006,53.053000000000004
memchip,O3,64,dynamic,100.0,8.815999999999999,8.82,37.93,39.150999999999996
memchip,O3,64,dynamic,1000.0,7.795,7.801,26.077999999999996,26.822
memchip,O3,64,guided,10.0,7.44,7.467,26.207,27.124
memchip,O3,64,guided,100.0,7.4030000000000005,7.43,26.064,26.643
memchip,O3,64,guided,1000.0,7.391,7.421,26.135,26.709
memchip,O3,64,static,10.0,13.421000000000001,13.44,54.715999999999994,55.015
memchip,O3,64,static,100.0,8.164,8.171,37.048,37.602000000000004
memchip,O3,64,static,1000.0,7.537000000000001,7.551,27.910000000000004,28.806
memchip,O3,128,dynamic,10.0,16.136000000000003,16.16,51.277,52.174
memchip,O3,128,dynamic,100.0,9.183,9.19,44.539,46.275999999999996
memchip,O3,128,dynamic,1000.0,8.11,8.11,37.155,37.799
memchip,O3,128,guided,10.0,8.032,8.04,37.355000000000004,38.772999999999996
memchip,O3,128,guided,100.0,8.013,8.02,37.507,38.757
memchip,O3,128,guided,1000.0,7.982000000000001,7.99,34.693,35.525
memchip,O3,128,static,10.0,14.35,14.370999999999999,55.963,57.108000000000004
memchip,O3,128,static,100.0,9.004999999999999,9.011,39.172000000000004,40.016
memchip,O3,128,static,1000.0,8.116999999999999,8.12,32.467,33.322
memchip,Ofast,1,sequential,,7.917,7.921,30.256999999999998,31.507
