matrix,opt_level,threads,schedule,chunksize,time_ms_mean,time_ms_p90
memchip,O2,1,sequential,,20.3712868,20.532083
memchip,O3,1,sequential,,20.4964624,20.686231000000003
memchip,O3,2,dynamic,10.0,53.6497001,57.277249000000005
memchip,O3,2,dynamic,100.0,21.633137,22.659353000000014
memchip,O3,2,dynamic,1000.0,16.4167582,16.94651
memchip,O3,2,guided,10.0,22.8441945,23.747025
memchip,O3,2,guided,100.0,22.9305809,23.696602000000002
memchip,O3,2,guided,1000.0,22.9835326,23.871704
memchip,O3,2,static,10.0,28.2013135,28.485915000000013
memchip,O3,2,static,100.0,24.9119656,25.479324000000002
memchip,O3,2,static,1000.0,20.907917899999998,21.339181
memchip,O3,4,dynamic,10.0,53.531946,55.84462700000001
memchip,O3,4,dynamic,100.0,14.9315308,15.905955000000011
memchip,O3,4,dynamic,1000.0,9.71535388,10.172733000000003
memchip,O3,4,guided,10.0,10.39593494,11.34319
memchip,O3,4,guided,100.0,10.398632319999999,11.298876
memchip,O3,4,guided,1000.0,10.334682789999999,11.206147999999999
memchip,O3,4,static,10.0,27.9864208,28.638766999999998
memchip,O3,4,static,100.0,16.435620200000002,17.027832
memchip,O3,4,static,1000.0,11.0181493,11.482058
memchip,O3,8,dynamic,10.0,38.4980662,40.301759000000004
memchip,O3,8,dynamic,100.0,7.96866694,8.732494700000005
memchip,O3,8,dynamic,1000.0,5.36968261,5.8612302000000005
memchip,O3,8,guided,10.0,5.62253421,6.4094483
memchip,O3,8,guided,100.0,5.63262699,6.3575443
memchip,O3,8,guided,1000.0,5.60823484,6.115551600000001
memchip,O3,8,static,10.0,18.1040308,18.595723
memchip,O3,8,static,100.0,8.71567384,9.272851600000001
memchip,O3,8,static,1000.0,5.5567553,6.289575200000004
memchip,O3,16,dynamic,10.0,26.5823051,27.324953
memchip,O3,16,dynamic,100.0,5.23098389,5.936718700000002
memchip,O3,16,dynamic,1000.0,4.34077146,4.8725345
memchip,O3,16,guided,10.0,4.53545411,5.0444577
memchip,O3,16,guided,100.0,4.496833479999999,5.0215573000000004
memchip,O3,16,guided,1000.0,4.45383786,4.8499996
memchip,O3,16,static,10.0,12.7252004,13.042697000000002
memchip,O3,16,static,100.0,5.83034668,6.497118700000001
memchip,O3,16,static,1000.0,3.56195556,4.431713500000001
memchip,O3,32,dynamic,10.0,20.714116399999998,21.145432
memchip,O3,32,dynamic,100.0,4.63560792,5.255713300000003
memchip,O3,32,dynamic,1000.0,4.001066890000001,4.5890136
memchip,O3,32,guided,10.0,3.9919946499999996,4.5339604
memchip,O3,32,guided,100.0,3.9152758999999997,4.4993409
memchip,O3,32,guided,1000.0,3.91233884,4.414794800000002
memchip,O3,32,static,10.0,7.4288452199999995,7.9200195
memchip,O3,32,static,100.0,5.36821287,6.1573975999999995
memchip,O3,32,static,1000.0,3.28865721,4.203418
memchip,O3,64,dynamic,10.0,18.9207788,19.324874
memchip,O3,64,dynamic,100.0,4.3280199800000005,4.765551400000007
memchip,O3,64,dynamic,1000.0,3.76332028,4.257666200000005
memchip,O3,64,guided,10.0,3.8045825300000002,4.644848500000002
memchip,O3,64,guided,100.0,3.75912847,4.456665400000002
memchip,O3,64,guided,1000.0,3.82637698,4.831225200000001
memchip,O3,64,static,10.0,5.784162589999999,6.595800700000001
memchip,O3,64,static,100.0,4.78047847,5.675170500000003
memchip,O3,64,static,1000.0,2.95719967,3.769849000000003
memchip,O3,128,dynamic,10.0,32.029404,39.031107
memchip,O3,128,dynamic,100.0,15.380856759999999,17.188453
memchip,O3,128,dynamic,1000.0,15.92259037,17.986007
memchip,O3,128,guided,10.0,15.57137954,17.436256
memchip,O3,128,guided,100.0,15.58808605,17.21719
memchip,O3,128,guided,1000.0,15.19684324,16.666917
memchip,O3,128,static,10.0,13.30863758,18.994653
memchip,O3,128,static,100.0,12.39784426,18.046458
memchip,O3,128,static,1000.0,9.439094260000001,15.832716000000001
memchip,Ofast,1,sequential,,20.9649708,21.338967
